"stimulus.name","stimulus.filename","aoi.index","aoi.name","xleft","ybottom","xright","ytop"
"ETH Foundation","7b9879f399a482f7a4771b060d5fcb6a_1280x1024.jpg",1,"AOI001",388,105,761,391
"Tide","da45fee4b1f6d845114a600136827d4a_1280x1024.jpg",1,"AOI001",152,188,721,865
